                              OYUNCU Seviye: 0 Harfler: XCV Skorları 

7.07.2021 17:16:01 | 1     | +0      | +0      | +60    | -60    | -60,00
7.07.2021 17:17:07 | 1     | +0      | +0      | +60    | -60    | -60,00
7.07.2021 17:18:18 | 1     | +4      | +1      | +56    | -53    | -53,00
7.07.2021 17:19:29 | 1     | +1      | +0      | +59    | -58    | -58,00
7.07.2021 17:21:32 | 1     | +3      | +0      | +57    | -54    | -54,00
7.07.2021 17:23:02 | 1     | +0      | +0      | +60    | -60    | -60,00
7.07.2021 17:25:03 | 1     | +0      | +0      | +60    | -60    | -60,00
7.07.2021 17:27:15 | 1     | +23    | +2      | +37    | -16    | -16,00
7.07.2021 17:28:31 | 1     | +1      | +0      | +59    | -58    | -58,00
7.07.2021 17:31:35 | 1     | +0      | +0      | +60    | -60    | -60,00
